round,gameday,date,time,gamenumber,gamecode,group,hometeam,homecode,homescore,awayteam,awaycode,awayscore,played
RS,19,"Jan 02, 2025",20:00,165,E2024_165,Regular Season,LDLC ASVEL VILLEURBANNE,ASV,66,EA7 EMPORIO ARMANI MILAN,MIL,75,True
RS,23,"Jan 24, 2025",20:00,205,E2024_205,Regular Season,LDLC ASVEL VILLEURBANNE,ASV,100,FC BARCELONA,BAR,94,True
RS,34,"Apr 10, 2025",20:15,299,E2024_299,Regular Season,OLYMPIACOS PIRAEUS,OLY,99,MACCABI PLAYTIKA TEL AVIV,TEL,93,True
RS,4,"Oct 18, 2024",19:30,34,E2024_34,Regular Season,ANADOLU EFES ISTANBUL,IST,91,OLYMPIACOS PIRAEUS,OLY,89,True
RS,3,"Oct 15, 2024",20:15,21,E2024_21,Regular Season,OLYMPIACOS PIRAEUS,OLY,89,EA7 EMPORIO ARMANI MILAN,MIL,68,True
RS,20,"Jan 09, 2025",19:00,173,E2024_173,Regular Season,AS MONACO,MCO,84,FC BARCELONA,BAR,98,True
RS,18,"Dec 26, 2024",19:00,154,E2024_154,Regular Season,AS MONACO,MCO,94,ANADOLU EFES ISTANBUL,IST,75,True
RS,23,"Jan 24, 2025",20:15,206,E2024_206,Regular Season,OLYMPIACOS PIRAEUS,OLY,77,FENERBAHCE BEKO ISTANBUL,ULK,87,True
RS,30,"Mar 18, 2025",20:30,262,E2024_262,Regular Season,PARIS BASKETBALL,PRS,92,EA7 EMPORIO ARMANI MILAN,MIL,79,True
RS,28,"Mar 07, 2025",20:15,251,E2024_251,Regular Season,OLYMPIACOS PIRAEUS,OLY,82,PARTIZAN MOZZART BET BELGRADE,PAR,70,True
RS,10,"Nov 15, 2024",20:30,90,E2024_90,Regular Season,VIRTUS SEGAFREDO BOLOGNA,VIR,77,PANATHINAIKOS AKTOR ATHENS,PAN,82,True
RS,29,"Mar 14, 2025",20:15,259,E2024_259,Regular Season,OLYMPIACOS PIRAEUS,OLY,76,PANATHINAIKOS AKTOR ATHENS,PAN,74,True
RS,10,"Nov 15, 2024",20:30,88,E2024_88,Regular Season,FC BARCELONA,BAR,87,PARIS BASKETBALL,PRS,103,True
RS,28,"Mar 07, 2025",18:30,249,E2024_249,Regular Season,ANADOLU EFES ISTANBUL,IST,89,VIRTUS SEGAFREDO BOLOGNA,VIR,68,True
RS,26,"Feb 06, 2025",19:00,227,E2024_227,Regular Season,ALBA BERLIN,BER,71,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,77,True
RS,15,"Dec 12, 2024",20:30,129,E2024_129,Regular Season,BASKONIA VITORIA-GASTEIZ,BAS,81,VIRTUS SEGAFREDO BOLOGNA,VIR,82,True
RS,17,"Dec 20, 2024",20:30,152,E2024_152,Regular Season,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,81,MACCABI PLAYTIKA TEL AVIV,TEL,73,True
RS,20,"Jan 10, 2025",19:00,177,E2024_177,Regular Season,ZALGIRIS KAUNAS,ZAL,64,REAL MADRID,MAD,83,True
RS,13,"Dec 03, 2024",18:30,109,E2024_109,Regular Season,ANADOLU EFES ISTANBUL,IST,101,FC BAYERN MUNICH,MUN,90,True
RS,24,"Jan 30, 2025",20:30,210,E2024_210,Regular Season,EA7 EMPORIO ARMANI MILAN,MIL,87,PANATHINAIKOS AKTOR ATHENS,PAN,75,True
RS,9,"Nov 12, 2024",19:00,74,E2024_74,Regular Season,AS MONACO,MCO,90,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,98,True
RS,33,"Apr 03, 2025",19:00,289,E2024_289,Regular Season,AS MONACO,MCO,76,PANATHINAIKOS AKTOR ATHENS,PAN,88,True
RS,7,"Oct 31, 2024",20:00,55,E2024_55,Regular Season,ALBA BERLIN,BER,70,ANADOLU EFES ISTANBUL,IST,86,True
RS,27,"Feb 27, 2025",20:30,237,E2024_237,Regular Season,PARIS BASKETBALL,PRS,93,FC BAYERN MUNICH,MUN,88,True
RS,13,"Dec 03, 2024",20:30,113,E2024_113,Regular Season,PARTIZAN MOZZART BET BELGRADE,PAR,84,ZALGIRIS KAUNAS,ZAL,78,True
RS,34,"Apr 10, 2025",20:30,301,E2024_301,Regular Season,PARTIZAN MOZZART BET BELGRADE,PAR,89,REAL MADRID,MAD,91,True
RS,15,"Dec 13, 2024",21:00,135,E2024_135,Regular Season,LDLC ASVEL VILLEURBANNE,ASV,98,PARIS BASKETBALL,PRS,93,True
RS,14,"Dec 06, 2024",20:15,124,E2024_124,Regular Season,OLYMPIACOS PIRAEUS,OLY,90,PARIS BASKETBALL,PRS,96,True
RS,18,"Dec 27, 2024",20:30,158,E2024_158,Regular Season,FC BARCELONA,BAR,74,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,78,True
RS,13,"Dec 03, 2024",20:30,112,E2024_112,Regular Season,BASKONIA VITORIA-GASTEIZ,BAS,88,FENERBAHCE BEKO ISTANBUL,ULK,76,True
RS,10,"Nov 14, 2024",20:30,84,E2024_84,Regular Season,FC BAYERN MUNICH,MUN,115,ALBA BERLIN,BER,88,True
RS,25,"Feb 04, 2025",20:15,220,E2024_220,Regular Season,PANATHINAIKOS AKTOR ATHENS,PAN,91,FENERBAHCE BEKO ISTANBUL,ULK,90,True
RS,14,"Dec 05, 2024",20:45,121,E2024_121,Regular Season,REAL MADRID,MAD,70,FENERBAHCE BEKO ISTANBUL,ULK,82,True
RS,6,"Oct 30, 2024",20:45,53,E2024_53,Regular Season,PARTIZAN MOZZART BET BELGRADE,PAR,74,AS MONACO,MCO,79,True
RS,29,"Mar 13, 2025",19:00,254,E2024_254,Regular Season,ZALGIRIS KAUNAS,ZAL,83,PARIS BASKETBALL,PRS,81,True
